,ingredients,frequency
4584,นมสดอุ่น,1
4585,ยีสต์,2
4586,มะเขือเทศบด,1
4587,กระเทียมบด,1
4588,หน้าพิซซ่า,1
4589,ไส้กรอกหั่น,1
4590,ซี่โครงหมูหั่นชิ้น,1
4591,ผักสลัดตามชอบ เช่น กรีนโอ๊ค เรดโอ๊ค ต้นอ่อนทานตะวัน มะเขือเทศ แครอท ฟักทองต้มสุก,1
4592,บะหมี่ไข่เขย่าเอาแป้งออกบ้าง,1
4593,แป้งสาลีสำหรับคลุกไก่ทอด,1
4594,พริกหวานสีเขียว เหลือง แดงหั่นชิ้นพอดีคำ,1
4595,น้ำส้มสายชูเล็กน้อย,1
4596,น่องไก่ขนาดใหญ่,1
4597,น้ำมันสำหรับทอดหอม,1
4598,หรือหอมแดงทอด,1
4599,หอยลายต้มสุก,1
4600,กุ่ยช่ายขาว,1
4601,น้ำมันพืช สำหรับผัด,1
4602,กะเทียม+พริก,1
4603,เต้าเจี้ยว ตามชอบ สูตรนี้ไม่ได้ใส่เพราะไม่มี,1
4604,ซอสชีสแอนด์เฮิร์บ ยี่ห้อพรีโก้,1
4605,ทาบาสโก เรดเปปเปอร์ซอส,2
4606,ส่วนผสมซอส,2
4607,ส่วนผสมแป้งทอด,1
4608,อบเชยป่น,1
4609,กระวาน.,1
4610,กานพลู.,1
4611,พริกชี้ฟ้าแดงเม็ดใหญ่,1
4612,เม็ดผักชีป่น,1
4613,ส่วนผสมข้าวหมกไก่,1
4614,ข้าวสารเก่า,1
4615,ผักชีเด็ดใบ,1
4616,เครื่องเคียง แตงกวาหั่นแว่น,1
4617,ส่วนผสมน้ำจิ้มข้าวหมกไก่,1
4618,เต้าหู้ยี้,1
4619,น้ำเต้าหู้ยี้,1
4620,แมงกระพรุน,1
4621,ส่วนผสมเส้น,1
4622,น้ำราด,1
4623,กุ้งกุลา,1
4624,เนื้อปลาเก๋าแล่,1
4625,น้ำซุปกระดูก,1
4626,เนื้อไก่ ปีกไก่,1
4627,หมูสันในหั่นชิ้น,1
4628,น้ำปรุงรส,1
4629,กระเทียมสับ 2,1
4630,ไข่ไก่2,2
4631,น้ำแป้ง,1
4632,น้ำมันสำหรับทอดเส้นและผัด,1
4633,ตะเกียบ,1
4634,ลูกชิ้นเนื้อ,2
4635,ผักกาดขาวหรือกะหล่ำปลี,1
4636,ปลากรายขูด,1
4637,พริกชี้ฟ้าสีแดงซอย,1
4638,สามชั้นหั่นชิ้นไม่ต้องหนามาก,1
4639,น้ำพริกแกงเผ็ด,1
4640,ถั่วแขกหั่นท่อน,1
4641,ข้าวโพดอ่อนหั่นแว่นหนาๆ,1
4642,เนื้อหมูสามชั้นหรือปีกไก่ตามต้องการ,1
4643,ผงเครื่องพะโล้ตราโลโบ้ไม่ปรุงรสและวัตถุกันเสีย,1
4644,โอวัลติน,1
4645,ซีอิ้วขาวไม่ใส่วัตถุกันเสีย,1
4646,น้ำมันดอกคาโนล่า,1
4647,คนอร์ต้มยำ,3
4648,ข่าหั่น,2
4649,ตะไคร้ต้น / ป่น,1
4650,ข่าหั่นแว่นและใบมะกรูดตกแต่ง,1
4651,เห็ดหอมแห้งแช่น้ำพอนุ่มหั่นชิ้น,1
4652,กุนเชียงคั่วพอหอม,1
4653,เม็ดบัวแช่น้ำพอนุ่มต้มสุก,1
4654,เม็ดเก๋ากี้,1
4655,ผักชีเด็ดยอด,1
4656,ใบบัวสำหรับห่อ,1
4657,ไส้กรอกไก่หนังกรอบ,1
4658,ปลาช่อนหั่นแว่น,1
4659,ข้าวขาว,1
4660,ไช้เท้า,1
4661,คนอร์ เนเชอรัล,1
4662,ปลาซิวทอด,1
4663,ต้นผักชี,1
4664,พริกไทยโรย,1
4665,พริกไทยนิดหน่อย,2
4666,เนื้อหมูหั่นชิ้น/หมูหมัก,1
4667,เส้นโซเม้ง,1
4668,ดอกงิ้ว,1
4669,พริกแกงน้ำเงี้ยวสำเร็จ,1
4670,แซลม่อนสด,1
4671,ไส้กรอกหั่นเฉียง,1
4672,ซอสปรุงรส/แม็กกี้,1
4673,ส้มมะขาม,1
4674,ต้อนหอม+ผักชี,1
4675,แป้งพิซซ่าสำเร็จ,2
4676,ซอสพิซซ่ากระป๋อง,1
4677,พริกยักษ์เขียวแดง,1
4678,ไส้กรอกหมูรมควัน,2
4679,สันคอหมูสไลด์ แบบชาบู,1
4680,น้ำมันพืช/เนย,1
4681,ปลาทอดจนสุกเหลือง,1
4682,ผักแกล้ม,1
4683,เส้นพลาสต้าธัญพืช 5 ชนิด,1
4684,พริกขี้หนู หรือพริกชี้ฟ้าหั่นเฉียง,1
4685,น้ำมันสำหรับผัดเล็กน้อย,3
4686,พริกชี้ฟ้าหั่นเฉียงบาง,1
4687,น้ำมันสำหรับทอดกุ้ง,1
4688,ปลากะพง แร่เอาแต่เนื้อปลา,1
4689,ขิงแกงหั่นแว่น,1
4690,++ข้าวผัดกระเทียม++,1
4691,กระเทียมซอยเป็นแผ่นบางๆ แล้วนำไปทอด,1
4692,++ผักผัดเนย++,1
4693,ซีอิ๊ว. ญี่ปุ่น,1
4694,มาม่าเกาหลีคาโบนาร่าห่อสีชมพู,1
4695,หุวหอมกรอบ,1
4696,หรือ หัวหอมทอดเอง,1
4697,เเป้งชุบทอด,1
4698,ปลาช่อนแดดเดียวป่น,1
4699,พริกแห้งขนาดใหญ่,1
4700,หอมทอด,1
4701,กระเทียมทอด,1
4702,ตะไคร้ป่น,1
4703,หัวไชเท้าหันแว่น,1
4704,คนอร์ชุปก้อน,1
4705,เบคอนชั๊งค์หั่นเป็นชิ้นเล็กๆ,1
4706,กาน่าฉ่าย,1
4707,น้ำมันพืชนิดหน่อย,1
4708,อโวคาโด,1
4709,Angel Hair,2
4710,Kosher Salt,1
4711,Flat Pasley,1
4712,บะหมี่กึ่งฯรสต้มยำ,1
4713,น้ำตาลเล็กน้อย,2
4714,ซอสปรุงรสต่างๆ,1
4715,น้ำตาลเคี้ยว,1
4716,แครอท มะเขือเทศ หอมหัวใหญ่ ตั้งโอ๋,1
4717,กระทิคั้นสด,1
4718,ข่า ตระไคร้,1
4719,ข้างกล้องหุงสุกตากเย็น,1
4720,เห็ดฝางทำความสะอาดหั่น,1
4721,กะเพราะ,1
4722,งาคั่วบดละเอียด,1
4723,งาคั่วไม่บด,1
4724,แครอทลวก,1
4725,ดอกขจร,1
4726,นมพร่องมันเนย,1
4727,Angel Hair Pasta,1
4728,ไส้กรอกพริก,1
4729,Salt Pepper,1
4730,ผักแช่แข็งสามสี,1
4731,กุนเชียงหั่น,1
4732,ข้าวถ้วย,1
4733,ซ้อสปรุงรส น้ำตาล เกลือ พริกไทย,1
4734,ไข่ไก่ สำหรับทำไข่ดาว,1
4735,หมูสไลด์บาร์บิก้อน,1
4736,ลูกชิ้น แครอท ข้าวโพด ตามใจชอบ,1
4737,ปูไข่,1
4738,"เบคอน,ขิงแก่,กระเทียม,พริกไทยขาว,พริกไทยดำ,คื่นช่าย",1
4739,ส่วนผสมเครื่องหมักหมู,1
4740,วูสเตอร์ไชน์ซอส,1
4741,คิดโคแมน ซอสถั่วเหลือง,1
4742,ส่วนผสมเครื่องปรุงรส,1
4743,วูสเตอร์ไชน์ซอส สำหรับปรุงรส,1
4744,น้ำตาล สำหรับปรุงรส,1
4745,คิคโคแมน ซอสถั่วเหลือง  สำหรับปรุงรส,1
4746,พริกชี้ฟ้าแดงซอยขวาง,1
4747,หอมหัวใหญ่ หั่นบาง,1
4748,ถั่วฝักยาว หั่นขวาง,1
4749,ผักกระเพรา,1
4750,หมูย่างหั่นชิ้น,1
4751,บล็อคโครี่,2
4752,ส่วนผสมสำหรับหมักกุ้งและหมู,1
4753,ไก่หรือหมู,1
4754,แป้งมันฝรั่ง,1
4755,ไวน์หรือเหล้าสำหรับทำอาหาร ไม่มีไม่ใส่ก็ได้คะ,1
4756,ส่วนผสมสำหรับในการผัด,1
4757,ไข่ไก่เบอรใหญ่,1
4758,เส้นหมี่ขาวอบแห้ง,1
4759,พริกหยวกแดง หั่นบางๆ,1
4760,พริกหยวกเขียว หั่นบางๆ,1
4761,พริกหยวกเหลืองหั่นบางๆ,1
4762,ต้นหอมซอยสำหรับตกแต่ง,1
4763,แป้งมัน หรือ แป้งมันฮ่องกง,1
4764,น้ำสต็อก หรือ น้ำซุป,1
4765,เส้นสปาเก็ตตี้แบบยาวต้มสุก,1
4766,กุ้งสดปอกเปลื้อก,1
4767,พริกชี้ฟ้าแดงโครกหยาบ,1
4768,กระเทียมกลีบใหญ่โครกละเอียด,1
4769,ใบมะกูดฉีก,1
4770,ชะอมเด็ดยอดอ่อน,1
4771,ผักแครอท ข้าวโพด ถั่วลันเตาแช่แข็ง,1
4772,เกลือ / หรือ น้ำปลา,1
4773,เครื่องแกงน้ำพริกอ่อง,1
4774,ไก่สับเป็ดสับต้มแล้ว,1
4775,น้ำปลาเมกกาเซฟ,1
4776,หล่อฮั้งก๊วย,1
4777,พริกแห้งอบกรอบ,1
4778,เบคอนทอดกรอบ,1
4779,แฮมสไลด์,1
4780,เส้นบุกแบบพาสต้า,1
4781,ไส้กรอก 3 ชิ้น,1
4782,คะน้าอ่อน,1
4783,หอมญี่ปุ่น ซอย,1
4784,โควชูจัง ตามต้องการ,1
4785,หมูสไลด์ ตามชอบ,1
4786,ไข่เค็มยี,1
4787,ต้นหอมผักชีแต่งหน้า,1
4788,เนื้อสะโพกหมู,1
4789,หอมเจียวโรยหน้า,1
4790,full cream หรือ นมสด,1
4791,กระเทียม+พริกไทยดำเม็ด,1
4792,ใบผักชีสำหรับโรยหน้า,1
4793,กระหล่ำ,1
4794,เบค่อนตามชอบ,2
4795,น้ำร้อนสำหรับลวกเส้น,1
4796,น้ำเฝอุณหภูมิห้องสำหรับล้างเส้นหลังลวก,1
4797,ผงปรุงน้ำซุปก๋วยเตี๋ยวชายสี่,1
4798,หมูบดปรุงรสหมักด้วยผงหมักไส้เกี๊ยวชายสี่,1
4799,ฮือก๊วย,1
4800,ผักกาดหอม/ต้นหอม/ขึ้นช่าย,1
4801,้เกลือ,1
4802,กระเทียมบดละเอียด,1
4803,ซอส ซีอิ๊วขาว ผงปรุงรส,1
4804,น้ำตาล ตัดเค็มเล็กน้อย,1
4805,บะหมี่ลวกสุก,1
4806,ผักกะหล่ำ,2
4807,แครอท หั่นชิ้นเล็ก,2
4808,เห็ดหอมหั่นชิ้นเล็ก,1
4809,น้ำมัน หอย,2
4810,น้ำพริก เผา,1
4811,ซุปปลาโอ,1
4812,เนื้ออกไก่สไลด์,1
4813,น้ำมันมะกอกแบบสเปรย์,1
4814,คนอร์ซุปก้อนรสต้มยำ,1
4815,ไข่ไก่/ไข่เป็ดต้มสุก,1
4816,เครื่องปรุงรส เช่น เกลือ น้ำปลา ผงชูรส น้ำตาลปี๊บ,1
4817,พริกสดโขลก,1
4818,มะนาวขวาน,1
4819,ซีอิ๋ว Kikoman,1
4820,ผงปรุงรสมาม่า,1
4821,ปลาทอด,2
4822,กระเจี๊ยบ,1
4823,มะขามเปียกคั้น,1
4824,"เครื่องปรุงรส น้ำปลา, น้ำมันหอย, ซีอิ๊วขาว, น้ำตาลทราย",1
4825,ข้าวสวยหุงเสร็จ,1
4826,อัลมอล,1
4827,หนังหมูต้ม,1
4828,"พริกหอมลูกกำจัด,พริกหอม,มะข่วง,มะเเขว่น",1
4829,"น้ำปลา,มะนาว",1
4830,ข้าวคั่วบดพอหยาบ,1
4831,เม็ดมะม่วงหิมพานต์ ถั่วลิสง,1
4832,ข้าวเหนียวดิบ,1
4833,ไข่แดงหั่นครึ่ง,1
4834,ใบไผ่,1
4835,เชือกสำหรับมัด,1
4836,ฟักหั่นชิ้น,1
4837,เส้นหมี่ลวกสุก,1
4838,กุ้งขาวปลอกเปลือกไว้หาง,1
4839,สามชั้นหั่นบาง,1
4840,เครื่องสำหรับผัด,1
4841,กระเทียมดองพร้อมน้ำ,1
4842,เครื่องประกอบ,1
4843,++หมูสับหมัก+++,1
4844,แอปเปิ้ลเขียวสับหยาบ,1
4845,++เบอเกอร์ข้าวสำหรับ 2ชิ้น++,1
4846,ข้าวสวยหุงนิ่ม,1
4847,งาขาว งาดำ สาหร่ายคั่ว,1
4848,เส้น bee tai mak,1
4849,ของซอย,1
4850,ต้มหอมญี่ปุ่นหันแฉลบ,1
4851,พริกไทย/ต้นหอมซอย/งาขาวคั่ว สำหรับโรยหน้า,1
4852,กุ้งสดแกะเปลือกผ่าหลังเอาเส้นดำออก,1
4853,มะเขือเทศราชินิหั่นครึ่ง,1
4854,ใบโหระพาซอยหยาบ,1
4855,น้ำมันรำข้าว หรือเนย,1
4856,เนื้อไก่สไลด์,1
4857,Olive oil แบบสเปรย์,1
4858,น้ำพริกคั่วกรอบยี่ห้ออะไรก็ได้,1
4859,EVOO Basil Infused,1
4860,Capelin Roe/Tobiko,1
4861,ซอสหม่าล่าสำเร็จรูป,1
4862,เว้นหมี่แห้งไวไว,1
4863,น้ำต้มเส้นพาสต้า,1
4864,หอมใหญ่หั่นละเอียด,1
4865,บรอคคอลลี่,2
4866,แครอทหั่นเล็กๆ ต้นหอม ผักชี,1
4867,ไก่บ้านสับเป็นชิ้น,1
4868,น้ำพริกน้ำเงี้ยว,1
4869,มะเขือเทศ เล็ก,1
4870,แป้งหมี่,1
4871,คนอร์สูตรสำเร็จเขียวหวานไก่,1
4872,น้ำสต๊อกหมู/ไก่,1
4873,เส้นจั๊บญวน,1
4874,ผักชี/ต้นหอม/ผักชีลาวซอย,1
4875,น้ำปลา/น้ำตาล/พริกไท/พริกป่น,1
4876,ปลาทูแม่กลองนึ่ง,1
4877,พริกไทปุ่น,1
4878,เพนเน่ต้มสุก,1
4879,ปูอัดหั่นครึ่ง,1
4880,กระทิสำเร็จรูป,1
4881,ไส้กรอกเวียนนา,1
4882,ผงโอริกาโน,1
4883,แผ่นเกี๊ยวทอด,1
4884,หมูชิ้นหมัก,1
4885,แป้งมันหรือแป้งข้าวโพด,1
4886,น้ำตาล น้ำปลา ซอสปรุงรส,1
4887,ผักรวมมิตร ซื้อจากศูนย์การค้า,1
4888,น้ำซุปผัก,1
4889,ซีอิ้วขาวเจ,1
4890,นมสดพาสเจอร์ไรส์,1
4891,เนื้อปลาหรือทูน่ากระป๋อง,1
4892,หากผัดด้วยกระทะไร้น้ำมันจะดีมาก,1
4893,"เครื่องปรุงรส เกลือ, น้ำปลา, ซีอิ๊วขาว, น้ำตาล",1
4894,กระชายขาวซอย,1
4895,พริกจินดาแดงซอย,1
4896,ไส้กรอกหั่นชิ้น,2
4897,cooking cream,1
4898,ตะไคร้ใบมะกรูด,1
4899,Parmesan cheese ขูดหรือผง,1
4900,พริกไทขาว,1
4901,มันเทศสีม่วง,1
4902,เบย์ลีฟแห้ง,1
4903,พาร์สลี่แห้ง,1
4904,"น้ำตาลทราย, เกลือ นิดหน่อย สำหรับปรุงรส",1
4905,คนอร์สูตรสำเร็จ รสลาบ,1
4906,ไข่ไก่ต้ม,2
4907,ปลาป่น,1
4908,"ดอกอัญชันม่วง,ขาว",1
4909,ส่วนผสมน้ำเคย,1
4910,ชื่อเรียก เคยปลา ปลาร้า,1
4911,หัวข่า,1
4912,ตะไคร้บุบ,1
4913,ข้าวเปล่าหุงสุก,2
4914,ส่วนผสมเส้นเจลลี่,1
4915,แป้งถั่วเขียวถ้าไม่มีสามารถใช้แป้งมันฝรั่งแทนได้,1
4916,ส่วนผสมของซอส,1
4917,ถั่วดำหมัก,1
4918,ถั่วลิสงคั่วป่นแบบหยาบ,1
4919,น้ำส้มสายชูสีดำ,1
4920,น้ำมันพริก,1
4921,หมูเนื้อแดงติดมันเล็กน้อย,1
4922,ลูกชิ้นอกไก่ข้าวไรซ์เบอร์รี่ รสดั้งเดิม,1
4923,บะหมี่ไทเป,1
4924,กระเทียมจีนกลีบใหญ่,1
4925,ซอสหอยหางรม,1
4926,ไก่หั่นเป็นชิ้น,1
4927,คะน้าหั่นท่อน,1
4928,มะนาว. พริกไทย,1
4929,หมูนุ่มหมักแล้วที่ขายเป็นหมูกะทะ,1
4930,เนื้อโคขุนบด,1
4931,ซอสมะเขือเทศคนอร์,1
4932,เส้นสปาเกตตี้ เบอร์3 ต้มสุก,1
4933,ไช้โป๊ว,1
4934,ข้าวหุงแบบแห้ง,1
4935,ผงเครื่องเทศอิตาเลียน,1
4936,มัสตาร์ดดีฌงของฝรั่งเศส,1
4937,+โทริคัตสึ ไก่ทอด+,1
4938,แป้งทอดอเนกประสงค์,1
4939,+คัตสึด้ง+,1
4940,ไข่ไก่ + ไข่เหลือจากชุบไก่ทอด,1
4941,หอมใหญ่ซอยละเอียด,1
4942,ขึ้นฉ่ายหั่นท่อนยาว หั่นละเอียด,1
4943,มะเขือเทศแบบเข้มข้น,1
4944,น้ำสต๊อกเนื้อ,1
4945,ซอส Worcestershire,1
4946,ใบกระวานแห้ง,1
4947,ผงลูกจันทน์เทศ,1
4948,ผงปรุงไวไว,1
4949,ธัญพืชรวม,1
4950,ส่วนผสม Egg wash,1
4951,เมล็ดงา,1
4952,ตะไคร้สับละเอียด,1
4953,ขมิ้นสับละเอียด,1
4954,เมล็ดผักชีคั่ว,1
4955,เมล็ดยี่หร่าคั่ว,1
4956,คนอร์ซอสข้นไก่,1
4957,พริกไทยป่นเล็กน้อย,3
4958,แผ่นแป้งเวียดนาม,1
4959,กลีบบัวหลวงซอย,1
4960,ตะไคร้หั่นยาวทุบ,1
4961,พริกแดงสด,1
4962,ผงปรุงรส ปลายช้อน,1
4963,สเต็กเนื้อ,1
4964,ดอกกะหล่ำขูดฝอย,1
4965,ตะไคร้หั่น,1
4966,เนื้อออสเตรเลีย,1
4967,พริก กระเทียม ตามชอบ,1
4968,แหนมหมูส้ม,1
4969,ตระไคร้,1
4970,น้ำมันพืชกันติด,1
4971,ลิ้นหมู,1
4972,สันคอหมูหั่นขวาง,1
4973,Perfect pinch Italian seasoning,1
4974,ตะไคร้ หั่นเล็กๆ,1
4975,เส้นหมี่แช่น้ำให้นิ่ม สะเด็ดน้ำ ตัดเป็นท่อนสั้นๆ,1
4976,หมูสับละเอียด,1
4977,เต้าเจี้ยวขาวสะเด็ดน้ำ แช่น้ำเดือดทิ้งไว้ซักครู่ สะด็ดน้ำอีกครั้งแล้วโขลกละเอียด,1
4978,เต้าหู้แข็งสีเหลืองหั่นชิ้นเล็กๆ,1
4979,หอมแดงซอยบางๆ,1
4980,ตัวกะทิ,1
4981,หางกระทิ,1
4982,น้ำมะขามเปียกคั้นข้นๆ,1
4983,เนื้อกุ้งสับละเอียด,1
4984,ไข่ฝอย,2
4985,แป้งเค้กสำเร็จรูป UFM,1
4986,กล้วยหอมสุก,1
4987,อกไก่ลอกหน้ง,1
4988,ข้าวกล้องสุก,1
4989,มาม่ารสหอยลายผัดฉ่า,1
4990,หอยลายน้ำพริกเผากระป๋อง,1
4991,ไส้กรอกไก่หั่นชิ้น,1
4992,แกงไตปลาแห้ง,1
4993,ผักตามชอบสำหรับลวก,1
4994,ต้นทานตะวันอ่อน,1
4995,อลาวรี้ 4 ชีส,1
4996,กระดาษฟอยล์สำหรับห่อแซนวิช,1
4997,บะหมี่กึ่งสำเร็จรูปรสหมูสับ,2
4998,ผักกะหล่ำปลี,1
4999,ต้นหอมโรยหน้านิดหน่อย,1
5000,แป้งถั่วลันเตา,1
5001,น้ำปูนใสสำหรับทำแบบทอด,1
5002,เห็ดฌอมปิญอง,1
5003,โรสแมรี่แห้ง,2
5004,แครอท บลอกโคลี ถั่วแขก,1
5005,เส้นพาสต้าอะไรก็ได้,1
5006,ปลาสลิดทอดกรอบ,1
5007,น้ำมันพืช/Olive Oil,1
5008,ซอสเพสโต้ที่ทำเตรียมไว้,1
5009,พรีโก้คาโบนาล่าผสมเห็ด,1
5010,คาเนชั่น 1 กระป๋อง,1
5011,ข้าวหอมมะลิสุก,1
5012,พริกไทยผง,1
5013,พรีโก้ซอสมะเขือเทส,1
5014,ไส้กรอกหนังกรอบตามชอบ,1
5015,ใบโหระพาตกแต่ง,1
5016,เส้มสปาเก็ตตี้,1
5017,โครงไก่สับเป็นชิ้น,1
5018,ลูกชิ้นปลารวม,1
5019,ฮื่อก้วย,1
5020,น้ำพริกเผาเผ็ด,1
5021,มะกะโรนี ลวกสุก,1
5022,หอมใหญ่ หั่นชิ้นเล็ก,1
5023,ข้าวโพดหั่นท่อนเล็ก,1
5024,มะเขือเทศ หั่นชิ้นเล็ก,1
5025,ขนมปังฝรั่งเศส,1
5026,กะหล่ำปลีหั่นซอย,1
5027,ซอสมะเขือเทศ-พริก,1
5028,มะเขือเทศลูกเล็ก หรือราชินี,1
5029,ซอสเทอริยากิ สำหรับหมักปลา,1
5030,ผงปรุงรสหมู สูตรไม่ใส่ผงชูรส,1
5031,ตะไครั,1
5032,พริกแล้วแต่ชอบ,1
5033,บล็อกโคลี,1
5034,เนื้อแซลม่อน,1
5035,almond milk หรือนมจากถั่ว,1
5036,nutritional yeast,1
5037,ปลาทูนึงแกะเอาแต่เนื้อ,1
5038,น้ำพริกแกงเผ็ดใต้,1
5039,กระชาย ล้างให้สะอาด ตำให้ละเอียด,1
5040,ผักเครื่องเคียงตามชอบ,1
5041,มะเขือเทศสด,1
5042,คนอก้อนรสหมู,1
5043,ต้นหอมสับ,1
5044,หอมหัวใหญ่ขนาดกลาง,1
5045,ผงพริกเกาหลีบดละเอียด,1
5046,น้ำเชื่อมยูรีดัง,1
5047,ซีอิ๊วขาวเกาหลี,1
5048,เบคอนหั่นเป็นชิ้นเล็กๆ,1
5049,โบโลน่าหั่นเป็นชิ้นเล็กๆ,1
5050,กระเทียมซอยเป็นแผ่นบางๆ,1
5051,พริกแห้งหั่นครึ่ง,1
5052,ซีอิ๊วหมักหมู,1
5053,ผักแช่แข็ง,1
5054,หมึกสายลวก,1
5055,งาดำคั่ว,1
5056,ผัดกาดแก้ว,1
5057,เลือดไก่ต้ม,1
5058,ชุดยาจีนตุ๋นไก่,1
5059,ชุดพะโล้,1
5060,ผักโรยผักชี คื่นช่าย,1
5061,กลิ่นวานิลลา,1
5062,ท็อปปิ้ง,1
5063,ไส้กรอกชีสกระเทียม,1
5064,ผักกาดตามชอบ,1
5065,น้ำสำหรับต้มมาม่า,1
5066,มิโซะสำเร็จ,1
5067,ใบโหะพา,1
5068,น้ำมันเล็กน้อย,1
5069,หน่อไม้หั่นเส้น,1
5070,ปลานิลหั่นชิ้น,1
5071,บะหมี่กึ่งสำเร็จรูปรสไก่เผ็ด,1
5072,เนื้อหมูสามชั้นสไลด์,1
5073,กุ้งสดแกะเปลือกผ่าหลัง,1
5074,แตงกวา ผักชี พริกไทยป่น,1
5075,นมอัลมอนด์,1
5076,น้ำปลาเมกะเชฟ,2
5077,spaghetti,1
5078,butter,1
5079,cherry tomato,1
5080,macadamia,1
5081,parsley สับ,1
5082,parmesan,1
5083,ผักโขม 1 ถุง,1
5084,กุ้ง 4 ตัว,1
5085,พริกกระเทียมน้ำมันหอย,1
5086,ขนมพริกทอดกรอบ,1
5087,แมกกี้ฝาเขียว,1
5088,ปลาเชียง,1
5089,ข้าว Basmati,1
5090,หมูสันใน หรือสันนอก,1
5091,ไวน์แดง,1
5092,น้ำส้มสายชูบาลเซมิค,1
5093,แฮมรมควัน,1
5094,หมูติดมัน,1
5095,น้ำสับปะรด,1
5096,guacamole,1
5097,มัสตาร์ดซีด,1
5098,ผง cinnamon,1
5099,พริกแดงแห้ง,1
5100,แผ่นแป้งเกี๊ยว,1
5101,หมูสับและมันหมู,1
5102,ต้น,2
5103,แซลม่อนเสต้ก,1
5104,ซอสซีอิ้ว,1
5105,น้ำมันน้อยๆ,1
5106,บะหมี่กึ่งสำเร็จรูป รสต้มยำ,1
5107,ผักชี เล็กน้อย,1
5108,มะนาว เล็กน้อย,1
5109,พริกขี้หนูแดง/เขียว,1
5110,กะหล่ำปีซอย,1
5111,เส้นสปาเก็ตตี้ลวกสุก,1
5112,เกลือหยิบมือ,1
5113,ส่วนผสมข้าวต้ม,1
5114,ข้าวสารญี่ปุ่น,1
5115,ตำลึง จำนวนตามชอบ,1
5116,กระเทียมสำหรับใส่ไก่,1
5117,ส่วนผสมน้ำจิ้มเต้าเจี้ยว,1
5118,กระเทียมสำหรับน้ำจิ้ม,1
5119,พริหขี้หนูสวน,1
5120,หอม ผักชี หอมแดงซอย,1
5121,ไก่สับละเอียด,2
5122,เส้นเรเมน,1
5123,"พริกไทย, เกลือ, น้ำปลา สำหรับปรุงรส",1
5124,ส่วนของไก่ทอด,1
5125,ปีกไก่บนและกลาง,1
5126,ส่วนของซอส,1
5127,มิริน ถ้าหาไม่ได้จริงๆไม่มีไม่ใส่ก็ได้หรือใส่น้ำเชื่อมแทนได้,1
5128,งาขาวตามชอบ,1
5129,ต้นหอมซอยโรยหน้า,1
5130,ปีกบนไก่ ปีกกลางไก่,1
5131,ผักชี/รากผักชี,1
5132,ส่วนผสมการหมักไก่,1
5133,พริกป่นเกาหลี/ผงปาปริก้า,1
5134,ส่วนแป้งสำหรับชุปทอด,1
5135,แป้งทอดกรอบ/แป้งข้าวโพด,1
5136,ผง,1
5137,น้ำเปล่าสำหรับชุปทอด,1
5138,หมู/เนื้อ,1
5139,ผักโขมลวก,1
5140,ซีอิ้วเกาหลี,1
5141,ผงต้มยำน้ำข้น,1
5142,มะเขือเทศหั่นชิ้น,1
5143,เห็ดหูหนูขาวตามชอบ,1
5144,ปลาหมึกกรอบตามชอบ,1
5145,ลูกชิ้นต่างๆตามชอบ,1
5146,พริกแดงจินดาโขลกหยาบๆ,1
5147,น้ำตาลทรายตามชอบ,1
5148,พริกไทยป่นตามชอบ,2
5149,แกงฮังเล,1
5150,แกงจืด,1
5151,แกงเผ็ด,1
5152,บะหมี่กึ่งสำเร็จรูปรสทงคัตสึราเมน,1
5153,งา,1
5154,มะกะโรนีลวกสุก,1
5155,หอยลายลวกสุกแกะเปลือก,1
5156,เห็ดนางฟ้าฉีก,1
5157,ลูกชิ้นหมูอย่างดี,1
5158,ผงพะโล้คนอร์อร่อยชัวร์,1
5159,เกร็ดขนมปัง,2
5160,กะหล่ำดอกจิ๋ว,1
5161,เต้าเจี้ยวUFC,1
5162,น้ำมันคาโนร่า,1
5163,น้ำสำหรับลวก,1
5164,คนอร์ ซอสข้นปรุงรส,2
5165,ปลาหมึกฝอยหรือเนื้อสัตว์ที่ชอบ,1
5166,ลูกชิ้นบิ๊กอิสรา,1
5167,ซอสปรุงรส คนอร์ รสไก่,1
5168,พริกใต้,1
5169,ทูน่าสด,1
5170,ออริกาโน่ ตามชอบ,1
5171,ผงพริก/ปาปริก้า ตามชอบ,1
5172,กุ้งสำเร็จรูป,1
5173,มันหมูติดหนัง,1
5174,พริกป่นคั่ว,1
5175,พริกชี้ฟ้าแห้งเม็ดใหญ่,1
5176,เส้นจันทร์แช่น้ำ,1
5177,ปูนึ่งสุก,1
5178,ถั่วงอกเด็ดหาง,2
5179,พริกระฆัง,1
5180,ขนมปังแซนวิช ตามชอบ ในภาพใช้ Farmhouse Royal 12 Grains,1
5181,ข้าวสวยที่เย็น,1
5182,ไก่รวนหวาน,1
5183,ไก่สับรวนพอสุก,1
5184,คะน้าฮ่องกงลวกสุก,1
5185,ชีสพาร์เมซาน,1
5186,พาร์สลี่,1
5187,พาสต้าก้นหอย,1
5188,หอยนางรมยักษ์มาพร้อมเปลือก,1
5189,Coriander,1
5190,paprika,1
5191,ไข่ปลาคอด,1
5192,ไข่สด,1
5193,น้ำส้มสายชูญี่ปุ่น,1
5194,ข้าวญี่ปุ่นหุงสุก,2
5195,สาหร่ายโรยหน้า,1
5196,สะโพกไก่ติดหนังเลาะกระดูก,1
5197,ดาชิ ¼ ถ้วย,1
